title,url,status
ДТП в Костомукше,https://www.youtube.com/watch?v=ri0wwcjF0XA,1
Сбил женщину на пешеходном переходе,https://www.youtube.com/watch?v=9EBC30h8JqA,1
Автобус занесло,https://www.youtube.com/watch?v=SmXgGZfwnNA,1
Столкнулись при повороте,https://www.youtube.com/watch?v=HX7I_iOppZs,1
Торопыга,https://www.youtube.com/watch?v=qGkNQ8aFbBg,1
Не уступил дорогу,https://www.youtube.com/watch?v=DbI2wQhuwM4,1
Потеряшка,https://www.youtube.com/watch?v=qrbu02D2wQY,1
Занесло в сугроб,https://www.youtube.com/watch?v=T7MCxNxRgjg,1
"Мололец, выручил!",https://www.youtube.com/watch?v=bQ8rA5fsu7o,1
ДТП на перекрестке,https://www.youtube.com/watch?v=YDjSZeubi5U,1
Не вписались в поворот,https://www.youtube.com/watch?v=iIQTZTvJwdA,1
Pro Работу СИТИЛИНК,https://www.youtube.com/watch?v=e_nzbXl8q1E,0
Думал проскочить,https://www.youtube.com/watch?v=q-FGFZ0KK7c,1
Поспешил выехать,https://www.youtube.com/watch?v=Vfb_UfjePKk,1
Не надо так спешить,https://www.youtube.com/watch?v=iHuR9UBsVdc,1
Погоня с жестким столкновением,https://www.youtube.com/watch?v=1w_VbA4CJYM,1
Мог бы и пропустить,https://www.youtube.com/watch?v=wZqZ8LGx28o,1
К чему приводит невнимательность,https://www.youtube.com/watch?v=nVZYf32vzcA,1
Первый снегопад,https://www.youtube.com/watch?v=Gd-COoQ6YDI,1
Машины всмятку,https://www.youtube.com/watch?v=iPWdFEgPH8k,1
Столкнулись на пустом перекрестке,https://www.youtube.com/watch?v=KJtlEzlUX9U,1
Попытка протиснуться,https://www.youtube.com/watch?v=L1a5Yk4kWcY,1
Решил пропустить,https://www.youtube.com/watch?v=je20xR5yau8,1
Провокатор скрылся,https://www.youtube.com/watch?v=gi8hQk7VtzM,1
Это что за маневр?,https://www.youtube.com/watch?v=6ewVrTDFFpA,1
Развернуло в обратную сторону,https://www.youtube.com/watch?v=-7yBoTrq7VY,1
Сам себя наказал!,https://www.youtube.com/watch?v=JFno93F23RM,1
Растерялся?,https://www.youtube.com/watch?v=QY_B9oM1LaA,1
Прямо в столб,https://www.youtube.com/watch?v=8UNGs-lFadw,1
Подрезал мотоциклиста,https://www.youtube.com/watch?v=N64v2YfHQOo,1
Ехал бы уже дальше,https://www.youtube.com/watch?v=H4ypVB10kKQ,1
ДТП на перекрестке в Кондопоге,https://www.youtube.com/watch?v=VT0OIiC86FE,1
Оборвал провода и поехал дальше,https://www.youtube.com/watch?v=wuWr8n37gqs,1
ДТП на перекрестке,https://www.youtube.com/watch?v=JhYkqEtQJvk,1
Летит на красный,https://www.youtube.com/watch?v=RTy3EcsgXww,1
Не ленитесь дойти до пешеходного перехода,https://www.youtube.com/watch?v=4khefhmdDzI,1
Соблюдай дистанцию,https://www.youtube.com/watch?v=9KE6fJa--CE,1
Спровоцировал аварию,https://www.youtube.com/watch?v=-AxW7pHQVfI,1
Успею проскочить,https://www.youtube.com/watch?v=IZZBnhIKzbQ,1
Своими силами уже не потушить,https://www.youtube.com/watch?v=VIF_yD3nx_8,0
Неожиданный поворот,https://www.youtube.com/watch?v=cV_IyiZGBAY,1
Поторопился с парковкой,https://www.youtube.com/watch?v=mfbnYbnqofY,1
Поздно пятиться,https://www.youtube.com/watch?v=y_E-rEbcj3Q,1
Смена сигналов сфетофора?,https://www.youtube.com/watch?v=n6_3Pl8R5NY,1
Сбил велосипедиста,https://www.youtube.com/watch?v=tFehj6Yx3yw,1
Нападение собаки,https://www.youtube.com/watch?v=BHXJPyHe6-o,0
Пошли разбирать ситуацию,https://www.youtube.com/watch?v=mRUVtGADIkQ,1
Лоб в лоб,https://www.youtube.com/watch?v=viNwM7ZIGSk,1
Как же так можно ездить?,https://www.youtube.com/watch?v=ueVcjpVZvx4,1
Вандалы в подземке,https://www.youtube.com/watch?v=bkNdx0enYR4,0
Выкрутасы,https://www.youtube.com/watch?v=EFkUfx0ycao,0
Пешеход погиб,https://www.youtube.com/watch?v=u4oXeoJypRI,1
Пешеход легко отделался,https://www.youtube.com/watch?v=cfaamSgMHKo,1
Публичный Wi Fi  Додо пицца,https://www.youtube.com/watch?v=6mdUMJ8j6PE,0
Затянуло под колесо,https://www.youtube.com/watch?v=AGlkD1ekN9w,1
